"RENDA","SUM(P1.POLITICAS) / (SELECT
    COUNT(*)
FROM PUBLIC.POLITICASPAISES P2
WHERE (P2.POLITICAS <> 0)
    AND (P2.RENDA = P1.RENDA))"
"Upper middle income","116.6222222222222222222222222"
"Low income","135.0294117647058823529411765"
"Lower middle income","133.325"
"High income","64.2"
