region,year,min,nominal,max
CHN,2003,,,
COM,2003,,,
CZE,2003,,,
COD,2003,39000.0,47000.0,54000.0
GNQ,2003,1900.0,2400.0,3000.0
EST,2003,,,
FRA,2003,6800.0,8100.0,9600.0
GMB,2003,1500.0,2000.0,2600.0
GNB,2003,3100.0,3600.0,4200.0
HTI,2003,10000.0,11000.0,13000.0
IRL,2003,,,
ITA,2003,4100.0,6400.0,9800.0
KEN,2003,66000.0,100000.0,160000.0
KGZ,2003,,,
LTU,2003,,,
MDG,2003,,640.0,910.0
MUS,2003,1200.0,1500.0,1800.0
MNG,2003,,,
NAM,2003,13000.0,15000.0,16000.0
NLD,2003,1000.0,1100.0,1200.0
OMN,2003,,,
PAN,2003,,,
QAT,2003,,,
MDA,2003,860.0,1200.0,1600.0
SEN,2003,4300.0,4900.0,5600.0
SLE,2003,5200.0,6000.0,7000.0
SVK,2003,,,
ESP,2003,3500.0,4800.0,6000.0
SDN,2003,4000.0,4900.0,6600.0
TLS,2003,,,
TTO,2003,860.0,990.0,1100.0
UKR,2003,23000.0,26000.0,30000.0
GBR,2003,,,
USA,2003,34000.0,40000.0,47000.0
YEM,2003,,,630.0
ZWE,2003,64000.0,91000.0,130000.0
AUS,2004,,720.0,1000.0
AZE,2004,580.0,950.0,1500.0
BLR,2004,900.0,1100.0,1500.0
BLZ,2004,,,
BTN,2004,,,
BRN,2004,,,
BFA,2004,6500.0,8100.0,10000.0
TCD,2004,7100.0,8900.0,11000.0
CHN,2004,,,
CUB,2004,760.0,1300.0,2000.0
CZE,2004,,,
DOM,2004,4300.0,5500.0,7500.0
EGY,2004,,,990.0
FJI,2004,,,
FRA,2004,6100.0,7300.0,8700.0
GTM,2004,2000.0,2700.0,3600.0
GNB,2004,2900.0,3400.0,3900.0
ISL,2004,,,
IDN,2004,,,
JOR,2004,,,
KEN,2004,63000.0,98000.0,150000.0
LBR,2004,3300.0,3800.0,4500.0
LTU,2004,,,
MDV,2004,,,
MLT,2004,,,
MOZ,2004,95000.0,150000.0,230000.0
NAM,2004,13000.0,14000.0,15000.0
MKD,2004,,,
OMN,2004,,,
PER,2004,3500.0,4200.0,5100.0
POL,2004,,,
RWA,2004,13000.0,14000.0,16000.0
SEN,2004,4100.0,4600.0,5300.0
ZAF,2004,510000.0,540000.0,560000.0
ESP,2004,3500.0,4800.0,6000.0
CHE,2004,,,690.0
TJK,2004,,,610.0
TKM,2004,,,
UKR,2004,21000.0,24000.0,28000.0
VEN,2004,8800.0,11000.0,12000.0
YEM,2004,,,770.0
DZA,2005,,640.0,920.0
ARG,2005,5200.0,6100.0,7700.0
BGD,2005,,,
BLR,2005,1100.0,1300.0,1700.0
BWA,2005,16000.0,17000.0,18000.0
BRN,2005,,,
CMR,2005,38000.0,42000.0,45000.0
CPV,2005,,,
TCD,2005,7200.0,9100.0,11000.0
COG,2005,4900.0,5900.0,6900.0
CIV,2005,33000.0,38000.0,45000.0
DNK,2005,,,
DOM,2005,4000.0,5100.0,6900.0
ERI,2005,790.0,1200.0,1600.0
SWZ,2005,14000.0,15000.0,16000.0
FJI,2005,,,
GEO,2005,,,
GHA,2005,19000.0,23000.0,28000.0
HND,2005,670.0,940.0,1300.0
ISL,2005,,,
ISR,2005,,,
JAM,2005,1600.0,2100.0,3200.0
JOR,2005,,,
LAO,2005,860.0,950.0,1100.0
LBN,2005,,,
MWI,2005,63000.0,68000.0,73000.0
MDV,2005,,,
MNE,2005,,,
MOZ,2005,95000.0,150000.0,230000.0
NZL,2005,,,
NER,2005,2600.0,3200.0,3900.0
PNG,2005,3000.0,3400.0,3900.0
PER,2005,3400.0,4200.0,5100.0
ROU,2005,780.0,930.0,1100.0
RWA,2005,12000.0,13000.0,14000.0
SGP,2005,,,550.0
SVN,2005,,,
SUR,2005,,,
CHE,2005,,520.0,720.0
TUN,2005,,,
TKM,2005,,,
TZA,2005,100000.0,110000.0,110000.0
URY,2005,,,
AFG,2006,,520.0,1300.0
DZA,2006,,730.0,1000.0
